Continent,Regions,Code,Zones,City,State,Country,Opened,Latitude,Longitude,Company,Location
North America,US Sec West Central,ussecwestcentral,1,Des Moines,Iowa,United States,Future,41.5725,-93.6105,microsoft,"Des Moines, Iowa, United States"
South America,Brazil South,brazilsouth,3,Campinas,,Brazil,2014,-22.9058,-47.0608,microsoft,"Campinas, Brazil"
South America,Brazil Southeast*,brazilsoutheast,1,Rio de Janeiro,,Brazil,2020,-22.9111,-43.2056,microsoft,"Rio de Janeiro, Brazil"
North America,Canada Central,canadacentral,3,Toronto,Ontario,Canada,2016,43.7417,-79.3733,microsoft,"Toronto, Ontario, Canada"
North America,Canada East,canadaeast,1,Quebec City,Quebec,Canada,2016,46.8139,-71.2081,microsoft,"Quebec City, Quebec, Canada"
South America,Chile Central,chilecentral,3,Santiago,,Chile,Future,-33.4372,-70.6506,microsoft,"Santiago, Chile"
North America,Mexico Central,mexicocentral,3,Queretaro State,,Mexico,Future,20.5888,-100.3899,microsoft,"Queretaro State, Mexico"
Europe,Austria East,austriaeast,3,Vienna,,Austria,Future,48.2083,16.3725,microsoft,"Vienna, Austria"
Europe,Belgium Central,belgiumcentral,1,Brussels,,Belgium,Future,50.8467,4.3525,microsoft,"Brussels, Belgium"
Europe,Denmark East,denmarkeast,3,Copenhagen,,Denmark,Future,55.6761,12.5683,microsoft,"Copenhagen, Denmark"
Europe,Finland Central,finlandcentral,1,Helsinki,,Finland,Future,60.1708,24.9375,microsoft,"Helsinki, Finland"
Europe,France Central,francecentral,3,Paris,,France,2018,48.8567,2.3522,microsoft,"Paris, France"
Europe,France South*,francesouth,1,Marseille,,France,2018,43.2964,5.37,microsoft,"Marseille, France"
Europe,Germany Central (Sovereign),germanycentral,1,Frankfurt,,Germany,2016,50.1106,8.6822,microsoft,"Frankfurt, Germany"
Europe,Germany North*,germanynorth,1,Berlin,,Germany,2019,52.52,13.405,microsoft,"Berlin, Germany"
Europe,Germany Northeast (Sovereign),germanynortheast,1,Magdeburg,,Germany,2016,52.1317,11.6392,microsoft,"Magdeburg, Germany"
Europe,Germany West Central,germanywestcentral,3,Frankfurt,,Germany,2019,50.1106,8.6822,microsoft,"Frankfurt, Germany"
Europe,Greece Central,greececentral,3,Athens,,Greece,Future,37.9842,23.7281,microsoft,"Athens, Greece"
Europe,North Europe,northeurope,3,Dublin,,Ireland,2009,53.35,-6.2603,microsoft,"Dublin, Ireland"
Europe,Italy North,italynorth,3,Milan,,Italy,2023,45.4669,9.19,microsoft,"Milan, Italy"
Europe,West Europe,westeurope,3,Amsterdam,,Netherlands,2010,52.3728,4.8936,microsoft,"Amsterdam, Netherlands"
Europe,Norway East,norwayeast,3,Oslo,,Norway,2019,59.9133,10.7389,microsoft,"Oslo, Norway"
Europe,Norway West*,norwaywest,1,Stavanger,,Norway,2019,58.97,5.7314,microsoft,"Stavanger, Norway"
Europe,Poland Central,polandcentral,3,Warsaw,,Poland,2023,52.23,21.0111,microsoft,"Warsaw, Poland"
Europe,Spain Central,spaincentral,3,Madrid,,Spain,Future,40.4169,-3.7033,microsoft,"Madrid, Spain"
Europe,Spain East,spaineast,3,Aragon,,Spain,Future,41.5976,0.9057,microsoft,"Aragon, Spain"
Europe,Sweden Central,swedencentral,3,Gavle,,Sweden,2021,60.6747,17.1417,microsoft,"Gavle, Sweden"
Europe,Sweden South*,swedensouth,1,Staffanstorp,,Sweden,2021,55.6333,13.2,microsoft,"Staffanstorp, Sweden"
Europe,Switzerland North,switzerlandnorth,3,Zurich,,Switzerland,2019,47.3744,8.5411,microsoft,"Zurich, Switzerland"
Europe,Switzerland West*,switzerlandwest,1,Geneva,,Switzerland,2019,46.2017,6.1469,microsoft,"Geneva, Switzerland"
Europe,UK South,uksouth,3,London,,UK,2016,51.5072,0.1276,microsoft,"London, UK"
Europe,UK West,ukwest,1,Cardiff,,UK,2016,51.4837,3.1681,microsoft,"Cardiff, UK"
North America,US East ,us-ashburn-1,3,Ashburn,Virginia,United States,2017,39.0277,-77.4714,oracle,"Ashburn, Virginia, United States"
North America,US Midwest ,us-chicago-1,3,Chicago,Illinois,United States,2022,41.8375,-87.6866,oracle,"Chicago, Illinois, United States"
North America,US West ,us-phoenix-1,3,Phoenix,Arizona,United States,2016,33.5722,-112.0892,oracle,"Phoenix, Arizona, United States"
North America,US West ,us-sanjose-1,1,San Jose,California,United States,2020,37.3012,-121.848,oracle,"San Jose, California, United States"
North America,US Gov East ,us-langley-1,1,Ashburn,Virginia,United States,2018,39.0277,-77.4714,oracle,"Ashburn, Virginia, United States"
North America,US Gov West ,us-luke-1,1,Phoenix,Arizona,United States,2018,33.5722,-112.0892,oracle,"Phoenix, Arizona, United States"
North America,US DoD East ,us-gov-ashburn-1,1,Ashburn,Virginia,United States,2019,39.0277,-77.4714,oracle,"Ashburn, Virginia, United States"
North America,US DoD North ,us-gov-chicago-1,1,Chicago,Illinois,United States,2020,41.8375,-87.6866,oracle,"Chicago, Illinois, United States"
North America,US DoD West ,us-gov-phoenix-1,1,Phoenix,Arizona,United States,2019,33.5722,-112.0892,oracle,"Phoenix, Arizona, United States"
South America,Brazil East ,sa-saopaulo-1,1,Sao Paulo,Brazil,Brazil,2019,-23.55,-46.6333,oracle,"Sao Paulo, Brazil, Brazil"
South America,Brazil Southeast ,sa-vinhedo-1,1,Vinhedo,Brazil,Brazil,2021,-23.03,-46.975,oracle,"Vinhedo, Brazil, Brazil"
North America,Canada Southeast ,ca-montreal-1,1,Montreal,Quebec,Canada,2020,45.5089,-73.5617,oracle,"Montreal, Quebec, Canada"
North America,Canada Southeast ,ca-toronto-1,1,Toronto,Ontario,Canada,2019,43.7417,-79.3733,oracle,"Toronto, Ontario, Canada"
South America,Chile Central ,sa-santiago-1,1,Santiago,,Chile,2020,-33.4372,-70.6506,oracle,"Santiago, Chile"
North America,Mexico Central ,mx-queretaro-1,1,Queretaro,,Mexico,2022,20.5875,-100.3928,oracle,"Queretaro, Mexico"
North America,Mexico Northeast ,mx-monterrey-1,1,Monterrey,,Mexico,2023,25.6667,-100.3,oracle,"Monterrey, Mexico"
South America,Chile 2 ,TBD,1,Colina,,Chile,Future,-33.2017,-70.6703,oracle,"Colina, Chile"
Europe,France Central ,eu-paris-1,1,Paris,,France,2022,48.8567,2.3522,oracle,"Paris, France"
Europe,France South ,eu-marseille-1,1,Marseille,,France,2021,43.2964,5.37,oracle,"Marseille, France"
Europe,Germany Central ,eu-frankfurt-1,3,Frankfurt,,Germany,2017,50.1106,8.6822,oracle,"Frankfurt, Germany"
Europe,EU Sovereign Central ,eu-frankfurt-2,1,Frankfurt,,Germany,2023,50.1106,8.6822,oracle,"Frankfurt, Germany"
Europe,Italy Northwest ,eu-milan-1,1,Milan,,Italy,2021,45.4669,9.19,oracle,"Milan, Italy"
Europe,Netherlands Northwest ,eu-amsterdam-1,1,Amsterdam,,Netherlands,2020,52.3728,4.8936,oracle,"Amsterdam, Netherlands"
Europe,Serbia Central ,eu-jovanovac-1,1,Jovanovac,,Serbia,2023,44.0491,20.9509,oracle,"Jovanovac, Serbia"
Europe,Spain Central ,eu-madrid-1,1,Madrid,,Spain,2022,40.4169,-3.7033,oracle,"Madrid, Spain"
Europe,EU Sovereign South ,eu-madrid-2,1,Madrid,,Spain,2023,40.4169,-3.7033,oracle,"Madrid, Spain"
